date,sector,age_group,ai_q,fte,percap,fte_index
2021-01-16,1,1,1,1449146.8977691222,2.0222563773730107,0.9941278950667533
2021-02-16,1,1,1,1430285.0033950466,1.9959349697600004,0.9811884647164295
2021-03-16,1,1,1,1409335.336628759,1.9667001162836664,0.966816803598581
2021-04-16,1,1,1,1448689.5877588976,2.022933711697265,0.994460868152442
2021-05-16,1,1,1,1470691.3765385365,2.053656760041133,1.0095641160501192
2021-06-16,1,1,1,1484951.7810682682,2.073569827208449,1.019353248510704
2021-07-16,1,1,1,1617997.9797120085,2.2608504605014517,1.1114191724190254
2021-08-16,1,1,1,1674815.487562284,2.34024233267839,1.150447693063473
2021-09-16,1,1,1,1543554.5886866085,2.1568297033735457,1.0602832543999914
2021-10-16,1,1,1,1462140.802316867,2.044431770258294,1.0050291719265956
2021-11-16,1,1,1,1443314.6828259826,2.0181082337446727,0.9920886950227751
2021-12-16,1,1,1,1470352.9018492964,2.055914301323714,1.010673908452502
2022-01-16,1,1,1,1455399.2808405603,2.0352132064350474,1.0004973867624178
2022-02-16,1,1,1,1461165.7423265276,2.0432769582350767,1.004461473953834
2022-03-16,1,1,1,1429000.8712152487,1.9982979814479314,0.9823501056743345
2022-04-16,1,1,1,1480245.3698153696,2.0690578538695727,1.0171351921810703
2022-05-16,1,1,1,1449645.085423676,2.026285378412228,0.9961085253998576
2022-06-16,1,1,1,1504539.6910164896,2.103015978049942,1.033828782019417
2022-07-16,1,1,1,1618164.3318906757,2.2608301795636057,1.1114092024437658
2022-08-16,1,1,1,1640042.842029992,2.291397900673279,1.1264360924977472
2022-09-16,1,1,1,1517131.5372341638,2.1196714685579017,1.0420165112832462
2022-10-16,1,1,1,1456606.20153077,2.034201421575864,1.0
2022-11-16,1,1,1,1453994.3104838077,2.030553824527912,0.9982068653530257
2022-12-16,1,1,1,1490401.0060900052,2.0813970461750375,1.023201057721517
2023-01-16,1,1,1,1448850.137532975,2.023025129901666,0.9945058087386746
2023-02-16,1,1,1,1467770.3316487942,2.049443340569123,1.0074928268319916
2023-03-16,1,1,1,1435687.4495899815,2.0046461079476967,0.9854708027854631
2023-04-16,1,1,1,1493524.5023870175,2.085587274686982,1.0252609464166582
2023-05-16,1,1,1,1479747.3359453438,2.066348565870303,1.0158033240727633
2023-06-16,1,1,1,1507728.1984304956,2.1054215979099724,1.0350113688736562
2023-07-16,1,1,1,1633990.46169974,2.281940668776948,1.1217869796832431
2023-08-16,1,1,1,1653507.100508374,2.3091965266654477,1.1351857796247873
2023-09-16,1,1,1,1532848.5130108069,2.14069141950499,1.0523497805082793
2023-10-16,1,1,1,1469033.8197074416,2.0517547332535018,1.008629092228261
2023-11-16,1,1,1,1477281.7894729474,2.0632744210776246,1.014292094771637
2023-12-16,1,1,1,1516078.5439629054,2.117460664846674,1.040929694762631
2024-01-16,1,1,1,1477248.4385313315,2.064084045275526,1.0146901006865447
2024-02-16,1,1,1,1485261.3492335472,2.0752800775103637,1.02019399627726
2024-03-16,1,1,1,1499216.7184723497,2.0947792045633453,1.029779638508242
2024-04-16,1,1,1,1484281.2946502308,2.0754302410765453,1.0202678156958234
2024-05-16,1,1,1,1497934.9511167684,2.0945217782629655,1.0296530894371179
2024-06-16,1,1,1,1522795.0605505377,2.12928299441605,1.0467414739915617
2024-07-16,1,1,1,1623724.4480152568,2.2721063481659938,1.1169524925441399
2024-08-16,1,1,1,1685138.4084045305,2.358043989517054,1.1591988701346567
2024-09-16,1,1,1,1541156.2159348582,2.1565671601615066,1.0601541898888498
2024-10-16,1,1,1,1488156.8862074798,2.0839643889817516,1.0244631465095217
2024-11-16,1,1,1,1500967.1399172095,2.101903433441595,1.033281862428984
2024-12-16,1,1,1,1460372.8937486198,2.045056629050902,1.0053363483870876
2025-01-16,1,1,1,1405218.2345320105,1.9691242114665253,0.9680084727996482
2025-02-16,1,1,1,1407549.4969621047,1.9723909960709176,0.9696144025614422
2025-03-16,1,1,1,1393494.7711487003,1.952696189809088,0.959932565722211
2025-04-16,1,1,1,1420672.4475802432,1.9919217399196083,0.9792155874006311
2025-05-16,1,1,1,1498593.270326165,2.101174355527371,1.0329234525357986
2025-06-16,1,1,1,1569340.8665407274,2.200369405862069,1.0816870849286289
2025-07-16,1,1,1,1619215.7639438377,2.271639801491363,1.1167231412765208
2025-08-16,1,1,1,1704004.053857093,2.390591493017768,1.1751990081522086
2025-09-16,1,1,1,1518583.8104977098,2.1304606233729,1.0473203886183826
2025-10-16,1,1,1,1463058.9409510437,2.0537706031371643,1.009620080565149
2025-11-16,1,1,1,1487570.1567212099,2.0881782493275467,1.026534652458294
2025-12-16,1,1,1,1507064.1483996892,2.1155429616617174,1.0399869645272588
2026-01-16,1,1,1,1479624.7272218699,2.0782413720179083,1.0216497491226446
2026-02-16,1,1,1,1470367.5321298859,2.0652389630455166,1.0152578506437226
2021-01-16,1,1,2,2989109.1873745923,4.171243871920827,1.0137341221163039
2021-02-16,1,1,2,2915910.076190223,4.069095932579062,0.9889091886446177
2021-03-16,1,1,2,2838919.1877554287,3.961656641657927,0.9627983021544014
2021-04-16,1,1,2,2997129.734690604,4.185157973017029,1.0171156551776401
2021-05-16,1,1,2,3048182.8962386027,4.256448028841853,1.0344412214538503
2021-06-16,1,1,2,3045431.641822898,4.252606208375955,1.033507546843372
2021-07-16,1,1,2,3389820.797340555,4.7366424475072,1.1511424938795025
2021-08-16,1,1,2,3742037.198654084,5.22879918879534,1.2707509601770164
2021-09-16,1,1,2,3258625.6508660363,4.553321694921794,1.1065901953579853
2021-10-16,1,1,2,2944970.005266165,4.117791003221789,1.000743513418025
2021-11-16,1,1,2,2905118.420646364,4.062068705093758,0.9872013670680178
2021-12-16,1,1,2,2999235.0510145705,4.1936668582466705,1.0191835628721588
2022-01-16,1,1,2,2980299.772938553,4.1676160878111626,1.0128524645933779
2022-02-16,1,1,2,3003435.84851135,4.19996930329691,1.0207152411428058
2022-03-16,1,1,2,2877572.873926107,4.023964002587167,0.9779408111451071
2022-04-16,1,1,2,3048522.7705910886,4.2611651485715925,1.0355876193569638
2022-05-16,1,1,2,2939884.0819801125,4.1093121271143,0.998682898816894
2022-06-16,1,1,2,3094138.1341173034,4.3249254062191484,1.051083224696023
2022-07-16,1,1,2,3375961.776239974,4.716749787618076,1.1463079963702563
2022-08-16,1,1,2,3614378.510665446,5.049855478974104,1.227262410920765
2022-09-16,1,1,2,3205536.5945222145,4.478638993435057,1.088440117071129
2022-10-16,1,1,2,2946386.512278421,4.114731645032135,1.0
2022-11-16,1,1,2,2910226.295782632,4.064232640069146,0.9877272664855413
2022-12-16,1,1,2,3017510.6215680637,4.214058947135657,1.024139436218992
2023-01-16,1,1,2,2954941.4009596114,4.125975873327392,1.0027326759714288
2023-02-16,1,1,2,2990371.93409023,4.175447421165392,1.0147557073877613
2023-03-16,1,1,2,2888025.1034837645,4.032540846552214,0.9800252347977169
2023-04-16,1,1,2,3108093.9949073633,4.34020417740029,1.054796412456296
2023-05-16,1,1,2,3036042.253796794,4.239589695254817,1.030344153882654
2023-06-16,1,1,2,3126453.258038426,4.365841417028817,1.0610270106678417
2023-07-16,1,1,2,3445364.4923620643,4.81160541518863,1.169360685039535
2023-08-16,1,1,2,3675116.8342596814,5.132464823497257,1.2473388950392106
2023-09-16,1,1,2,3250684.5640684683,4.539726199133958,1.10328609269451
2023-10-16,1,1,2,2974022.299390366,4.153726243546152,1.009476826650675
2023-11-16,1,1,2,2989563.931655134,4.1754327673401885,1.0147521460801314
2023-12-16,1,1,2,3153514.1441133195,4.404417028911505,1.070402011326575
2024-01-16,1,1,2,3021225.125431765,4.221404075261097,1.0259245169384863
2024-02-16,1,1,2,3039242.7461635945,4.246579179540353,1.0320428027590578
2024-03-16,1,1,2,3100803.1947285533,4.332594460645855,1.052947028970104
2024-04-16,1,1,2,3049071.022156407,4.263433238283043,1.03613883141819
2024-05-16,1,1,2,3107529.0161303263,4.34517346431933,1.0560040943533742
2024-06-16,1,1,2,3196485.4631339214,4.469558849296838,1.0862333767727232
2024-07-16,1,1,2,3440479.4735797457,4.814323798727385,1.170021331655952
2024-08-16,1,1,2,3760926.398461738,5.262730850283835,1.2789973452187875
2024-09-16,1,1,2,3234951.530309766,4.52672491136689,1.1001263999396338
2024-10-16,1,1,2,2968329.5243765735,4.156747908030362,1.0102111793970707
2024-11-16,1,1,2,3008934.589973869,4.213609863581756,1.0240302957955958
2024-12-16,1,1,2,3182548.1543536396,4.45673240594601,1.0831161763190036
2025-01-16,1,1,2,3022614.2538535944,4.235571929629238,1.0293677194582052
